Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Solution
265,"The difference of the squares of two consecutive
even integers is divisible by",3,4,6,726,b,"Two consecutive even integers are 2n and (2n + 2).
\ (2n + 2)2 – (2n)2 = (4n2 + 4 + 8n – 4n2) = 4 + 8n = 4(1 +
2n), which is always divisible by 4."
266,"The difference of the squares of two consecutive
odd integers is divisible by",3,6,7,8,d,"Two consecutive odd integers are (2m + 1) and (2m + 3).
\ (2m + 3)2 – (2m + 1)2 = (2m + 3 + 2m + 1) (2m +
3 – 2m – 1) = (4m + 4) × 2 = 8(m + 1), which is always
divisible by 8."
267,"The smallest 4-digit number exactly divisible by 7
is (P.C.S., 2009)",1001,1007,1101,1108,a,"The smallest 4-digit number is 1000.
This when divided by 7 leaves 6 as remainder.
\ 1001 is the smallest 4-digit number exactly divisible by 7."
268,"What least number must be added to 1056 to get a
number exactly divisible by 23?
(P.C.S., 2009)",2,3,21,25,a,"On dividing 1056 by 23, we get 21 as remainder.
\ Required number to be added = (23 – 21) = 2.
23 1056 45
92
136
115
21"
269,"Which of the following numbers should be added
to 8567 to make it exactly divisible by 4?
(Bank Recruitment, 2008)
(e) None of these",3,4,5,6,,"On dividing 8567 by 4, the remainder is 3.
To make it divisible by 4, we must add 1 to it."
270,"Find the least 6-digit number which is exactly
divisible by",,,,,a,"The least 6-digit number = 100000.
Required number = 100000 + (349 – 186) = 100000 + 163
= 100163.
349 100000 286
698
3020
2792
2280
2094
186"
349,"(R.R.B., 2006)",100163,101063,160063,None of these,b,"Product of all odd natural numbers less than 5000
= 1 × 3 × 5 × 7 × ........... × 4999
1 2 3 4 5 6 ............. 5000
2 4 6 8 ............ 5000
××× ×× ×
× ××× ×
5000 !
5000 !
=
2 (1 2 3 4 ........... 2500) 2 . 2500 !
××× ×
×
2500
."
271,"Which is the greatest 5-digit number exactly divisible
by 279? (R.R.B., 2006)",99603,99550,99882,None of these,c,"The greatest 5-digit number = 99999.
On dividing 99999 by 279, we get 117 as remainder.
\ Required number = (99999 – 117) = 99882.
279 99999 358
837
1629
1395
2349
2232
117"
272,"The least number, which must be added to the
greatest 6-digit number so that the sum may be
exactly divisible by 327 is",194,264,292,294,d,"The greatest 6-digit number is 999999.
Required number to be added = (327 – 33) = 294.
327 999999 3058
981
1899
1635
2649
2616
33"
273,"The least number more than 5000 which is divisible
by 73 is",5009,5037,5073,5099,b,"On dividing 5000 by 73, we get
Required number = 5000 + (73 – 36) = 5037.
73 5000 68
438
620
584
36"
274,"The nearest integer to 58701 which is exactly divisible
by 567 is",55968,58068,58968,None of these,c,"On dividing 58701 by 567, we get 300 as remainder.
\ Required number = 58701 + (567 – 300) = 58701 + 267
= 58968.
567 58701 103
567
2001
1701
300"
275,"The smallest number which must be subtracted from
8112 to make it exactly divisible by 99 is",91,92,93,95,c,"On dividing 8112 by 99, we get 93 as remainder.
So, the required number to be subtracted is 93.
99 8112 81
792
192
99
93"
276,"The smallest number that must be added to 803642
in order to obtain a multiple of 11 is",1,4,7,9,c,"On dividing 803642 by 11, we get 4 as remainder.
Required number to be added = (11 – 4) = 7."
277,"The number of times 99 is subtracted from 1111 so
that the remainder is less than 99 is",10,11,12,13,b,"On dividing 1111 by 99, the quotient is 11 and the
remainder is 22.
Hence, the required number is 11.
99)1111( 11
99
121
99
2244
QUANTITATIVE APTITUDE"
278,"The smallest number by which 66 must be multiplied
to make the result divisible by 18 is",3,6,"9
QUANTITATIVE APTITUDE",18,a,"66 = 11 × 6
In order to get a number divisible by 18, the above product
must be multiplied by 3.
Hence 66 must be multiplied by 3."
279,"The smallest 6-digit number exactly divisible by 111
is
(e) None of these",111111,110011,100011,110101,c,"The smallest 6-digit number is 100000. On dividing 100000
by 111, we get 100 as remainder.
So, the number to be added = (111 – 100) = 11.
Hence, the required number = 100011.
111 100000 900
999
100"
280,"The sum of all 2-digit numbers divisible by 5 is
(e) None of these",945,1035,1230,1245,a,"All 2-digit numbers divisible by 5 are 10, 15, 20, 25,
....., 95.
This is an A.P. in which a = 10, d = 5 and Tn = 95.
Tn = 95 ⇒ a + (n – 1) d = 95 ⇒ 10 + (n – 1) × 5 = 95
⇒ (n – 1) =
\ Sum =
n
85
5
= ⇒ n = 18.
17
+= + = × =
22
(al)
18
(10 95) (9 105) 945."
281,"How many 3-digit numbers are completely divisible
by 6?",149,150,151,166,b,"3-digit numbers divisible by 6 are 102, 108, 114, ......., 996.
This is an A.P. in which a = 102, d = 6 and Tn = 996.
\ Tn = a + (n – 1) d ⇒ 102 + (n – 1) × 6 = 996 ⇒ (n – 1)
× 6 = 894
⇒ (n – 1) = 149 ⇒ n = 150.
Hence, there are 150 such numbers."
282,"The number of terms between 11 and 200 which are
divisible by 7 but not by 3 are
(C.P.F., 2008)",18,19,27,28,a,"Multiples of 7 between 11 and 200 are 14, 21, 28, 35, 42,
........., 189, 196.
Tm = 196 ⇒ 14 + (m – 1) × 7 = 196 ⇒ (m – 1) × 7 = 182
⇒ (m – 1) = 26 ⇒ m = 27.
Multiples of 7 and 3 both, i.e. that of 21 are 21, 42, 63,
............, 189
Tn = 189 ⇒ 21 + (n – 1) × 21 = 189 ⇒ (n – 1) × 21 = 168
⇒ (n – 1) = 8 ⇒ n = 9.
\ Required number of terms = (27 – 9) = 18."
283,"Out of the numbers divisible by 3 between 14 and
95 if the numbers with 3 at unit's place are removed,
then how many numbers will remain? (R.R.B., 2006)",22,23,24,25,c,"Numbers between 14 and 95 and divisible by 3 are 15,
18, 21 24, .........., 93.
Tm = 93 ⇒ 15 + (n – 1) × 3 = 93 ⇒ (n – 1) × 3 = 78
⇒ (n – 1) = 26 ⇒ n = 27.
Numbers to be deleted are 33, 63, 93.
They are 3 in number.
Required number of numbers = (27 – 3) = 24."
284,"How many numbers less than 1000 are multiples of
both 10 and 13?",6,7,8,9,b,"Required numbers are multiples of (10 × 13), i.e. 130.
These numbers are 130, 260, 390, 520, 650, 780 and 910.
They are 7 in number."
285,"How many integers between 100 and 150, both
inclusive, can be evenly divided by neither 3 nor 5?",26,27,28,33,b,"Number of integers between 100 and 150 (including both)
= 51.
Numbers divisible by 3 are 102, 105, 108, ........, 150.
Let Tm = 150. Then, a + (m – 1) d = Tm.
\ 102 + (m – 1) × 3 = 150 ⇒ (m – 1) × 3 = 48 ⇒ m – 1
= 16 ⇒ m = 17.
Numbers divisible by 5 are 100, 105, 110, 115, .........., 150.
Let Tn = 150. Then, a + (n – 1) d = Tn.
\ 100 + (n – 1) × 5 = 150 ⇒ (n – 1) × 5 = 50 ⇒ (n – 1)
= 10 ⇒ n = 11.
Numbers divisible by both 3 and 5 are 105, 120, 135, 150.
They are four in number.
Number of numbers divisible by 3 or 5 = (17 + 11 – 4) = 24.
Number of numbers neither divisible by 3 nor by 5 are
(51 – 24) = 27."
286,"If all the numbers from 501 to 700 are written, what
is the total number of times the digit 6 appears?
(Civil Services, 2007)",138,139,140,141,c,"Numbers from 501 to 599 which have 6 as digit are 506,
516, 526, 536, 546, 556, 560, 561, 562, 563, 564, 565, 566,
567, 568, 569, 576, 586 and 596, i.e. 6 occurs 20 times.
Number of times 6 occurs from 600 to 699 = 100 + 20 = 120.
\ Total number of times 6 occurs = 20 + 120 = 140."
287,"How many 3-digit numbers are there in between
100 and 300, having first and the last digit as 2?",9,10,11,12,b,"Such numbers are 202, 212, 222, 232, 242, 252, 262, 272,
282, 292. There are 10 such numbers."
288,"The total number of integers between 200 and 400,
each of which either begins with 3 or ends with 3
or both is (S.S.C., 2007)",10,100,110,120,c,"Such numbers are 203, 213, 223, 233, 243, 253, 263, 273,
283, 293 and all numbers from 300 to 399. Clearly, number
of such numbers = 10 + 100 = 110."
289,"While writing all the numbers from 700 to 1000,
how many numbers occur in which the first digit is
greater than the second digit, and the second digit
is greater than the third digit?",61,64,78,"85NUMBER SYSTEM
27",d,"When the second digit is 1, third digit can be 0, i.e. there
is one such number.
When the second digit is 2, third digit can be 0 or 1, i.e.
there are 2 such numbers.
When the second digit is 3, third digit can be 0, 1 or 2
i.e. there are 3 such numbers, and so on.
When the first digit is 7, second digit can be 1, 2, 3, 4, 5
or 6. So, there are
(1 + 2 + 3 + 4 + 5 + 6) = 21 such numbers between 700
and 799.
When the first digit is 8, second digit can be 1, 2, 3, 4, 5,
6 or 7. So, there are
(1 + 2 + 3 + 4 + 5 + 6 + 7) = 28 such numbers between
800 and 899.
When the first digit is 9, second digit can be 1, 2, 3, 4, 5,
6, 7 or 8. So, there are
(1 + 2 + 3 + 4 + 5 + 6 + 7 + 8) = 36 such numbers between
900 and 999.
Hence, the required number = (21 + 28 + 36) = 85."
290,"A 9-digit number in which zero does not appear and
no digits are repeated has the following properties:
The number comprising the left most two digits is
divisible by 2, that comprising the left most three
digits is divisible by 3, and so on.
The number is",183654729,381654729,983654721,981654723,b,"(a) In 183654729, 1836547 is not divisible by 7.
(b) In 381654729, 38 is divisible by 2, 381 is divisible by
3, 3816 is divisible by 4, 38165 is divisible by 5, 381654
is divisible by 6, 3816547 is divisible by 7, 38165472 is
divisible by 8 and 381654729 is divisible by 9.
(c) In 983654721, 983 is not divisible by 3.
(d) In 981654723, 9816547 is not divisible by 7."
291,"If 11,109,999 is divided by 1111, then what is the
remainder? (M.A.T., 2007)",1098,1010,1110,1188,c,"On dividing 11109999 by 1111, we get:
So, the required remainder is 1110.
1111 11109999 9999
9999
11109
9999
11109
9999
11109
9999
1110"
292,"A number divided by 68 gives the quotient 260 and
remainder zero. If the same number is divided by
65, the remainder is",0,1,2,3,a,"Number = (68 × 260) = 17680. On dividing this number
by 65, we get zero as remainder.
65 17680 272
130
468
455
130
130
×"
293,"Which of the following prime numbers while
dividing 2176 leaves 9 as remainder?",17,29,167,197,d,"(2176 – 9) = 2167 = (11 × 197).
So, the required number is 197."
294,"Match List I with List II and select the correct answer:
List I
List II
(a, b as given in
Euclidean algorithm
a = bq + r)
A. a = – 112, b = – 7
B. a = 118, b = – 9
C. a = – 109, b = 6
D. a = 115, b = 8
A B C D
(Values of q and r)",3 1 4 2,,4 1 3 2,,c,"(a)
–7 –112 16
–112
0
(b)
–9 118 –13
9
28
27
1
(c)
6 – 109 – 19
–6
– 49
– 54
5
(d)
8 115 14
8
35
32
3NUMBER SYSTEM
q = 16, r = 0
45
\ A → 4
q = – 19, r = 5
\ C → 3
q = – 13, r = 1.
\ B → 1
q = 14, r = 3
\ D → 2"
1,"q = – 13, r = 1",,,,,c,"w
1
w ww w
1– 2 1
1
2
.
A, B, C are all odd and none of the digits is 3 ⇒ A, B, C
are the digits from 5, 7, 9.
Since A is the largest digit, so A = 9.
\ B = 5 or 7 and C = 5 or 7.
Now, the number DE is the product of two prime numbers.
E = 1 and D = 2, 4, 6 or 8.
41 and 61 are prime numbers and 81 cannot be expressed
as product of two primes.
Only 21 can be expressed as the product of two prime
numbers (21 = 3 × 7).
So, D = 2.
Hence, the number is 95721 or 97521."
2,"q = 14, r = 3",,,,,a,"+
=40
QUANTITATIVE APTITUDE"
3,"q = – 19, r = 5",,,,,c,"Hence, 4006020 is divisible by 3."
4,"q = 16, r = 0
A B C D",,3 2 4 1,,4 2 3 1,d,"Difference between the place values of 7 and 3 in given
numeral = (7000 – 30) = 6970."
295,The number 534677 is divided by,,,,,b,"On dividing 534677 by 777 we get 101 as remainder.
\ (Divisor) – (Remainder) = (777 – 101) = 676.
777 534677 688
4662
6847
6216
6317
6216
101"
777,"The difference
of divisor and remainder is",577,676,687,789,,
296,"In a division sum, the quotient, dividend and
remainder are 15, 940 and 25 respectively. The
divisor is",31,50,60,61,d,"(Dividend) – (Remainder)
Quotient
\ Divisor =
(940 – 25)
15
= Divisor.
==61.
915
15"
297,"In a division sum, the divisor is 12 times the quotient
and 5 times the remainder. If the remainder is 48,
then the dividend is",2404,3648,4808,4848,d,"Remainder = 48, Divisor = (5 × 48) = 240.
12 × Quotient = Divisor ⇒ Quotient =
240
12
Dividend = (240 × 20) + 48 = 4848."
298,"The divisor is 25 times the quotient and 5 times the
remainder. If the quotient is 16, then the dividend
is",400,480,6400,6480,d,"Quotient = 16, Divisor = (25 × 16) = 400.
5 × Remainder = Divisor ⇒ Remainder = 400
Dividend = (400 × 16) + 80 = 6480."
299,"A number when divided by the sum of 555 and 445
gives two times their difference as quotient and 30
as the remainder. The number is",1220,1250,22030,220030,d,"Divisor = (555 + 445) = 1000, Quotient = 2(555 – 445) = 2
× 110 = 220 and Remainder = 30.
5
\ Required number = (1000 × 220) + 30 = 220000 + 30 ="
300,"In doing a question of division with zero remainder,
a candidate took 12 as divisor instead of",,,,,d,
21,"The
quotient obtained by him was",,,,,c,"We have, M = 1000 ; D = 500 ; C = 100 and L = 50.
\ M > D > C > L is the correct sequence."
35,"The correct
quotient is",0,12,13,20,c,"n < 0 ⇒ 2n < 0, – n > 0 and n2 = (– n)2 > 0.
Thus, out of the numbers 0, – n, 2n and n2 we find that
2n is the least."
301,"In a division problem, the divisor is 7 times of quotient
and 5 times of remainder. If the dividend is 6 times
(Hotel Management, 2007)","0
of remainder, then the quotient is equal to",1,7,None of these,b,"Divisor = 7 × quotient = 5 × remainder and Dividend
= 6 × remainder.
5x) 6x (1
5x
x
Let remainder be x. Then, divisor = 5x and dividend = 6x.
On dividing 6x by 5x, we get 1 as quotient and x as remainder.
\ Quotient = 1."
302,"On dividing a number by 19, the difference between
quotient and remainder is",,,,,d,"Since the required number is a 3-digit number, so on
dividing by 19, it would yield a two-digit quotient which
means that the quotient is greater than the remainder.
Let the remainder be x. Then, quotient = x + 9.
So, number N = 19 (x + 9) + x = 20x + 171.
\ (N – 171) must be divisible by 20.
Clearly, (371 – 171) = 200, which is divisible by 20.
Hence, the required number = 371."
9,The number is,352,361,370,371,a,Required number = 2047.
303,A number when divided by 136 leaves remainder,,,,,a,"Let the number be x. Let x when divided by 136 give q
as quotient and 36 as remainder. Then, x = 136 q + 36 =
(17 × 8q) + (17 × 2) + 2 = 17 × (8q + 2) + 2.
So, the given number when divided by 17 gives 2 as
remainder."
36,"If the same number is divided by 17, the remainder
will be (S.S.C., 2010)",2,3,7,9,d,"It is given that x – y = 8.
I. We may have x = 5 and y = – 3.
So, it is not necessary that both x and y are positive.
II. If x is positive, then it is not necessary that y is positive, as
x = 5 ⇒ y = – 3.
(32 and 2),
(8 and 8).
In any case, the sum is not 35."
304,A number when divided by 195 leaves a remainder,,,,,b,"Let the number be x and the quotient be q.
Then, x = 195 q + 47 = (15 × 13 q) + (15 × 3) + 2 = 15(13q
+ 3) + 2.
= .
20
= .
80
= 20.
So, the given number when divided by 15 gives 2 as
remainder."
47,"If the same number is divided by 15, the
remainder will be (Hotel Management, 2010)",1,2,3,4,d,"
 1
1
1 1
 2 3 7 
+ + +=


++
n nn
(21 14 6) 141
+ = +
42
.
1

42
This sum is a natural number when n = 42.
So, each one of the statements that 2 divides n ; 3 divides
n and 7 divides n is true.
Hence, n > 84 is false."
305,"A certain number when divided by 899 gives a
remainder",,,,,a,"Let the number be x and the quotient be q.
Then, x = 899 q + 63 = (29 × 31q) + (29 × 2) + 5 = 29
(31q + 2) + 5.
So, the given number when divided by 29 gives 5 as
remainder."
63,"What is the remainder when the same
number is divided by 29?
(R.R.B., 2008)",5,25,27,None of these,c,"Sum of all prime numbers from 1 to 20 = (2 + 3 + 5 + 7
+ 11 + 13 + 17 + 19) = 77."
306,A number when divided by 5 leaves the remainder,,,,,c,"Let the number be x and on dividing by 5, we get q as
quotient and 3 as remainder.
Then, x = 5q + 3 ⇒ x2 = (5q + 3)2 = (25q2 + 30q + 9)
= 5(5q2 + 6q + 1) + 4.
Thus, on dividing x2 by 5, we get 4 as remainder."
3,"What is the remainder when the square of the
same number is divided by 5?",0,3,4,9,c,"Hence, 4006020 is divisible by 3."
307,The difference between two numbers is,,,,,b,"Let the smaller number be x. Then, larger number
= (x + 1365).
\ x + 1365 = 6x + 15 ⇒ 5x = 1350 ⇒ x = 270.
Hence, the smaller number = 270."
1365,"When
the larger number is divided by the smaller one, the
quotient is 6 and the remainder is",,,,,,
15,"What is the
smaller number?",240,270,295,360,d,3 is an infinite non-recurring decimal.
308,"When n is divided by 4, the remainder is",,,,,b,"Let n = 4k + 3.
Then, 2n = 2(4k + 3) = 8k + 6 = 4 × 2k + 4 × 1 + 2 = 4
(2k + 1) + 2.
Thus, on dividing 2n by 4, we get 2 as remainder."
3,"What
is the remainder when 2n is divided by 4?",1,2,3,6,c,"Hence, 4006020 is divisible by 3."
309,"When a number is divided by 13, the remainder is",,,,,b,"Let x = 13p + 11 and x = 17q + 9.
Then, 13p + 11 = 17q + 9 ⇒ 17q – 13p = 2 ⇒ q =
.The least value of p for which q =
number, is p = 26.
2 13
17
+ p
2 13
17
+ p
is a whole
\ x = (13 × 26 + 11) = 338 + 11 = 349."
11,"When the same number is divided by 17, the
remainder is",,,,,b,"Clearly, there exists a smallest natural number, namely 1.
So statement (1) is true.
Natural numbers are counting numbers and the counting
process never ends. So, the largest nature number is not
known. Thus, statement (2) is false.
Thre is no natural number between two consecutive natural
numbers. So, statement (3) is false."
9,"What is the number?28
QUANTITATIVE APTITUDE
(e) None of these",339,349,369,Data inadequate,a,Required number = 2047.
310,"In a division sum, the remainder was",,,,,c,"Let the dividend be (x + 71) and the divisor be y.
Then, [2(x + 71) – 43] is divisible by y ⇒ (2x + 142 – 43)
is divisible by y
⇒ (2x + 99) is divisible by y.
\ Divisor = 99
Shortcut Method:
Divisor = (2 × 71 – 43) = (142 – 43) = 99."
71,"With the
same divisor but twice the dividend, the remainder
is",,,,,a,"Clearly, 100 is divisible by 2. So, 100 is not prime.
(101) < (11)2 and prime numbers less than 11 are 2, 3, 5, 7.
Clearly, 101 is not divisible by any of 2, 3, 5 and 7.
Hence, 101 is the smallest 3-digit prime number."
43,Which one of the following is the divisor?,86,93,99,104,d,"B > A ⇒ A < B ⇒ (A – B) < 0.
Since A and B are both positive integers, we have
(A + B) > 0 and AB > 0.
If (A = 1 and B = 2), we have AB < (A + B).
If (A = 2 and B = 3), we have (A + B) < AB.
Thus, we cannot say which one of A + B and AB has the
highest value."
311,"When a certain positive integer P is divided by
another positive integer, the remainder is r",,,,,d,"Let P = x + r1 and Q = y + r2, where each of x and y are
divisible by the common divisor.
Then, P + Q = (x + r1) + (y + r2) = (x + y) + (r1 + r2).
(P + Q) leaves remainder r3 when divided by the common
divisor.
⇒ [(x + y) + (r1 + r2) – r3] is divisible by the common divisor.
Since (x + y) is divisible by the common divisor, so divisor
= r1 + r2 – r3."
1,"When
a second positive integer Q is divided by the same
integer, the remainder is r2 and when (P + Q) is
divided by the same divisor, the remainder is r",,,,,c,"w
1
w ww w
1– 2 1
1
2
.
A, B, C are all odd and none of the digits is 3 ⇒ A, B, C
are the digits from 5, 7, 9.
Since A is the largest digit, so A = 9.
\ B = 5 or 7 and C = 5 or 7.
Now, the number DE is the product of two prime numbers.
E = 1 and D = 2, 4, 6 or 8.
41 and 61 are prime numbers and 81 cannot be expressed
as product of two primes.
Only 21 can be expressed as the product of two prime
numbers (21 = 3 × 7).
So, D = 2.
Hence, the number is 95721 or 97521."
3,"Then the divisor may be
(e) Cannot be determined",r1 r2 r3,"r1 + r2 + r3
remainder",r1 – r2 + r3,,c,"Hence, 4006020 is divisible by 3."
1,"What will be the remainder when the
number is divided by 6?",2,3,4,5,c,"w
1
w ww w
1– 2 1
1
2
.
A, B, C are all odd and none of the digits is 3 ⇒ A, B, C
are the digits from 5, 7, 9.
Since A is the largest digit, so A = 9.
\ B = 5 or 7 and C = 5 or 7.
Now, the number DE is the product of two prime numbers.
E = 1 and D = 2, 4, 6 or 8.
41 and 61 are prime numbers and 81 cannot be expressed
as product of two primes.
Only 21 can be expressed as the product of two prime
numbers (21 = 3 × 7).
So, D = 2.
Hence, the number is 95721 or 97521."
319,"When the square of any odd number, greater than
1, is divided by 8, it always leaves remainder
(I.A.M., 2007)",1,6,8,Cannot be determined,a,"Let the number be N = 2x + 1.
N2 = (2x + 1)2 = 4x2 + 1 + 4x = 4x (x + 1) + 1.
Clearly, 4x (x + 1) is always divisible by 8 since one of x
and (x + 1) is even which when multiplied by 4 is always
divisible by 8.
Hence, required remainder = 1."
320,"The numbers from 1 to 29 are written side by side
as follows:
1234567891011121314...........2829
If this number is divided by 9, then what is the
remainder? (M.A.T., 2006)",,,,,c,"Sum of digits of numbers from 1 to 10 = 46.
Sum of digits of numbers from 11 to 20 = 56.
Sum of digits of numbers from 21 to 29 = 63.
Sum of digits of the given number = 46 + 56 + 63 = 165.
So, the required remainder is the remainder obtained on
dividing 165 by 9, which is 3."
312,"Two numbers when divided by a certain divisor
leave the remainders 4375 and 2986 respectively
but when the sum of two numbers is divided by
the same divisor, the remainder is",,,,,c,"As proved in the above question, divisor = 4375 + 2986
– 2361 = 5000."
2361,"The divisor
in question is",0,1,3,None of these,,
321,"If 17200 is divided by 18, the remainder is",4675,4900,5000,None of these,a,"When n is even, (xn – an) is divisible by (x + a).
\ (17200 – 1200) is divisible by (17 + 1)
⇒ (17200 – 1) is divisible by 18
⇒ On dividing 17200 by 18, we get 1 as remainder."
313,"A number divided by 13 leaves a remainder 1 and
if the quotient, thus obtained, is divided by 5, we
get a remainder of",,,,,d,"The number is of the form (13k + 1), where k is of the
form (5m + 3).
\ Number = 13k + 1 = 13 (5m + 3) + 1 = 65m + 40.
Clearly when the number is divided by 65, we get 40 as
remainder."
3,"What will be the remainder
if the number is divided by 65?",16,18,28,40,c,"Hence, 4006020 is divisible by 3."
314,"The numbers 2272 and 875 are divided by a three-
digit number N, giving the same remainder. The
sum of the digits of N is",10,11,12,13,a,"Clearly, (2272 – 875) = 1397, is exactly divisible by N.
Now, 1397 = 11 × 127.
\ The required 3-digit number is 127, the sum of whose
digits is 10."
315,"A number when divided by three consecutive
numbers 9, 11, 13 leaves the remainders 8, 9 and 8
respectively. If the order of divisors is reversed, the
remainders will be",,,,,b,"9 x
11 y – 8
13 z – 9
1 – 8
z = 13 × 1 + 8 = 21.
y = 11 × z + 9 = 11 × 21 + 9 = 240.
x = 9 × y + 8 = 9 × 240 + 8 = 2168.46
QUANTITATIVE APTITUDE
Now, when order of divisors is reversed, we have:
13 2168
11 166 – 10
9 15 – 1
1 – 6
\ Respective remainders are 10, 1 and 6."
322,What is the remainder when 231 is divided by 5?,1,2,3,4,c,"231 = 2 × 230 = 2 × (22)15 = 2 × 415.
When n is odd, (xn + an) is divisible by (x + a).
\ (415 + 115) is divisible by (4 + 1)
⇒ (415 + 1) is divisible by 5 ⇒ (230 + 1) is divisible by 5
⇒ On dividing 230 by 5, we get (5 – 1) i.e. 4 as remainder.
\ Remainder obtained on dividing 231 by 5
= Remainder obtained on dividing (2 × 4) i.e. 8 by 5 = 3."
323,"Consider the following statements:
(1) an + bn is divisible by a + b if n = 2k + 1, where
k is a positive integer.
(2) an – bn is divisible by a – b if n = 2k, where k is
a positive integer.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,c,"Clearly,
(1) when n is odd, (an + bn) is divisible by (a + b). So, (1) is true.
(2) (an – bn) is divisible by (a – b) for all values of n. So,
(2) is true."
324,(719 + 2) is divided by,,,,,c,"(xn – an) is divisible by (x – a) for all values of n.
\ (719 – 119) is divisible by (7 – 1)
⇒ (719 – 1) is divisible by 6
⇒ On dividing (719 + 2) by 6, remainder obtained = 3."
6,The remainder is,1,2,3,5,c,Required sum = (99999 + 10000) = 109999.
325,"If (1012 + 25)2 – (1012 – 25)2 = 10n, then the value of
n is
(R.R.B., 2008)","10, 8, 9",10,14,20,c,"(1012 + 25)2 – (1012 – 25)2 = 4 × 1012 × 25
[ (a + b)2 – (a – b)2 = 4ab]
= 1012 × 100 = 1012 × 102 = 1014.
Hence, n = 14."
316,"After the division of a number successively by 3,
4 and 7, the remainders obtained are 2, 1 and 4
respectively. What will be the remainder if 84 divides
the same number?",41,53,75,80,b,"3 x
4 y – 2
7 z – 1
z = 7 × 1 + 4 = 11.
y = 4 × z + 1 = 4 × 11 + 1 = 45.
x = 3 × y + 2 = 3 × 45 + 2 = 137.
1 – 4
When 137 is divided by 84, the remainder obtained is 53."
317,"A number is successively divided by 8, 7 and 3
giving residues 3, 4 and 2 respectively and quotient",,,,,b,"8 x
7 y – 3
3 z – 4
z = 3 × 31 + 2 = 95.
y = 7 × z + 4 = 7 × 95 + 4 = 669.
x = 8 × y + 3 = 8 × 669 + 3 = 5355.
31 – 2
\ Required number = 5355."
31,The number is,3555,5355,5535,5553,b,x is odd ⇒ x2 is odd ⇒ 5x2 is odd ⇒ (5x2 + 2) is odd.
318,A number when divided by 3 leaves a remainder,,,,,c,"3 x
2 y – 1
y = 2 × 1 + 1 = 3
x = 3 × y + 1 = 3 × 3 + 1 = 10.
1 – 1
Clearly, 10 when divided by 6, leaves a remainder 4."
1,"When the quotient is divided by 2, it leaves a",,,,,c,"w
1
w ww w
1– 2 1
1
2
.
A, B, C are all odd and none of the digits is 3 ⇒ A, B, C
are the digits from 5, 7, 9.
Since A is the largest digit, so A = 9.
\ B = 5 or 7 and C = 5 or 7.
Now, the number DE is the product of two prime numbers.
E = 1 and D = 2, 4, 6 or 8.
41 and 61 are prime numbers and 81 cannot be expressed
as product of two primes.
Only 21 can be expressed as the product of two prime
numbers (21 = 3 × 7).
So, D = 2.
Hence, the number is 95721 or 97521."
326,(325 + 326 + 327 + 328) is divisible by,11,16,25,30,d,"(325 + 326 + 327 + 328) = 325 (1 + 3 + 32 + 33)
= 325 (1 + 3 + 9 + 27) = 325 × 40
= (3 × 10) × (324 × 4) = 30 × (324 × 4),
which is divisible by 30."
327,(461 + 462 + 463 + 464) is divisible by,3,11,13,17,d,"(461 + 462 + 463 + 464) = 461 (1 + 4 + 42 + 43) = 461 × 85,
which is divisible by 17."
328,"(96 + 1) when divided by 8, would leave a remainder of",0,1,2,3,c,"(xn – an) is divisible by (x – a) for all values of n
\ (96 – 16) is divisible by (9 – 1)
⇒ (96 – 1) is divisible by 8
⇒ On dividing (96 + 1) by 8, we get 2 as remainder."
329,"If n is even, (6n – 1) is divisible by",6,30,35,37,c,"When n is even, (xn – an) is divisible by both (x – a) and
(x + a).
So, (6n – 1) is divisible by both (6 – 1) and (6 + 1)
⇒ (6n – 1) is divisible by both 5 and 7
⇒ (6n – 1) is divisible by (5 × 7), i.e. 35.
[ 5 and 7 are co-primes]"
330,"If (12n + 1) is divisible by 13, then n is",1 only,12 only,any odd integer,"any even integerNUMBER SYSTEM
29",c,"(xn + an) is divisible by (x + a) when n is odd.
\ (12n + 1) is divisible by (12 + 1) i.e. 13 when n is odd."
331,"2525 is divided by 26, the remainder is",1,2,24,25,d,"(xn + an) is divisible by (x + a) when n is odd.
\ (2525 + 125) is divisible by (25 + 1)
⇒ (2525 + 1) is divisible by 26
⇒ On dividing 2525 by 26, we get (26 – 1) = 25 as
remainder."
332,"If (6767 + 67) is divided by 68, the remainder is",1,63,66,67,c,"(xn + an) is divisible by (x + a) when n is odd.
\ (6767 + 167) is divisible by (67 + 1)
⇒ (6767 + 1) is divisible by 68
⇒ On dividing (6767 + 67) by 68, we get (67 – 1) = 66 as
remainder."
333,One less than (49)15 is exactly divisible by,8,14,50,51,a,"(4915 – 1) = (72)15 – 1 = 730 – 1.
Now, when n is even, (xn – an) is divisible by both (x – a)
and (x + a).
\ (730 – 1) is divisible by both (7 – 1) and (7 + 1) i.e. by
both 6 and 8. Thus, [(49)15 – 1] is divisible by both 6 and 8."
